1		0.003
2		0.001
3		0.001
4		0
5		0
6		0.001
7		0.001
8		0
9		0.001
10		0
11		0
12		0.001
13		0
14		0
15		0.001
16		0
17		0.001
18		0
19		0
20		0.001
21		0
22		0
23		0.001
24		0
25		0
26		0.001
27		0
28		0
29		0.001
30		0
31		0
32		0.001
33		0
34		0
35		0.001
36		0
37		0
38		0.001
39		0
40		0
41		0.001
42		0.001
43		0
44		0.001
45		0.001
46		0
47		0.001
48		0.001
49		0.001
50		0.001
51		0
52		0
53		0
54		0.001
55		0.001
56		0.001
57		0
58		0
59		0.001
60		0.001
61		0.001
62		0.001
63		0.001
64		0.001
65		0.002
66		0.001
67		0.001
68		0.001
69		0
70		0
71		0.001
72		0.001
73		0.001
74		0
75		0.001
76		0.002
77		0.001
78		0.001
79		0
80		0.002
81		0.001
82		0.001
83		0.001
84		0
85		0
86		0.002
87		0.002
88		0.001
89		0.003
90		0
91		0.002
92		0.002
93		0.001
94		0.003
95		0.002
96		0.001
97		0.001
98		0.003
99		0.002
100		0.003
